lu_id,lu_name,lemma,sense_description
100,discutir.v,discutir,Ato de discutir em determinado contexto.
101,voar.v,voar,Ato de voar em determinado contexto.
102,pular.v,pular,O processo de pular realizado por um agente.
103,olhar.v,olhar,Ação de olhar com um propósito específico.
104,notar.v,notar,O processo de notar realizado por um agente.
105,dirigir.v,dirigir,Engajar-se no ato de dirigir com um objetivo.
106,destruir.v,destruir,Ação de destruir com um propósito específico.
107,navegar.v,navegar,Ação de navegar com um propósito específico.
108,sentir.v,sentir,Realizar a ação de sentir de maneira intencional.
109,perceber.v,perceber,Ação de perceber com um propósito específico.
110,apreciar.v,apreciar,Engajar-se no ato de apreciar com um objetivo.
111,analisar.v,analisar,O processo de analisar realizado por um agente.
112,gritar.v,gritar,O processo de gritar realizado por um agente.
113,saborear.v,saborear,Realizar a ação de saborear de maneira intencional.
114,sussurrar.v,sussurrar,Engajar-se no ato de sussurrar com um objetivo.
115,trocar.v,trocar,O processo de trocar realizado por um agente.
116,ponderar.v,ponderar,Ato de ponderar em determinado contexto.
117,dizer.v,dizer,Engajar-se no ato de dizer com um objetivo.
118,refletir.v,refletir,Engajar-se no ato de refletir com um objetivo.
119,gostar.v,gostar,Realizar a ação de gostar de maneira intencional.
120,considerar.v,considerar,O processo de considerar realizado por um agente.
121,criar.v,criar,Engajar-se no ato de criar com um objetivo.
122,pensar.v,pensar,O processo de pensar realizado por um agente.
123,vender.v,vender,Ato de vender em determinado contexto.
124,barganhar.v,barganhar,Realizar a ação de barganhar de maneira intencional.
125,comprar.v,comprar,Ato de comprar em determinado contexto.
126,falar.v,falar,Realizar a ação de falar de maneira intencional.
127,emocionar.v,emocionar,Engajar-se no ato de emocionar com um objetivo.
128,negociar.v,negociar,Realizar a ação de negociar de maneira intencional.
129,fabricar.v,fabricar,Ação de fabricar com um propósito específico.
130,desenvolver.v,desenvolver,O processo de desenvolver realizado por um agente.
131,devorar.v,devorar,O processo de devorar realizado por um agente.
132,comer.v,comer,Ação de comer com um propósito específico.
133,odiar.v,odiar,Ato de odiar em determinado contexto.
134,nadar.v,nadar,Ação de nadar com um propósito específico.
135,amar.v,amar,Engajar-se no ato de amar com um objetivo.
136,andar.v,andar,Engajar-se no ato de andar com um objetivo.
137,ver.v,ver,O processo de ver realizado por um agente.
138,degustar.v,degustar,Engajar-se no ato de degustar com um objetivo.
139,observar.v,observar,O processo de observar realizado por um agente.
200,emoção.n,emoção,O emoção como entidade ou conceito abstrato.
